Address Line 1,Address Line 2,City,Country,URL 1,URL 2,URL 3
Sicham Aviation Limited,"5Th Floor, Ack Garden House Lr No. 209/8342/3",1St Ngong Avenue Street,Nairobi,Kenya,https://yellow.place/en/sicham-aviation-limited-nairobi-kenya,https://www.kenyaplex.com/business-directory/95976-sicham-aviation-ltd-superior-aviation-bldg-lang-ata-rd.aspx
Popatlal Padamshri Mombasa Ltd,Kericho Street,,Mombasa,Kenya,https://www.kenyaplex.com/business-directory/21842-popatlal-padamshi-msa-ltd-mombasa.aspx,https://softkenya.com/directory/popatlal-padamshi-msa-ltd/,http://www.businesslist.co.ke/company/65836/popatlal-padamshi-mombasa-ltd-est-1929
Inuka Kenya Trust,Wood Garden Road Kilimani Area,,Nairobi,Kenya,https://www.idealist.org/en/nonprofit/202b32c0d5864c508e40e3c643d4b753-inuka-kenya-trust-nairobi,https://www.idealist.org/en/nonprofit/202b32c0d5864c508e40e3c643d4b753-inuka-kenya-trust-nairobi,http://orgs.tigweb.org/inuka-kenya-trust
Olemila Community Based Organization,Eldoret Kisumu Road,,Kapsabet,Kenya,https://admission.princeton.edu/how-apply/community-based-organizations,https://www.uscis.gov/avoid-scams/community-organizations/community-based-organizations,https://m.facebook.com/Olemila-VCT-Centre-582457431799255/
Relcon Power Systems Ltd,Machakos Road,,Mombasa,Kenya,http://relconpowersystems.com/What_we_do.html,http://relconpowersystems.com/What_we_do.html,http://www.relconpowersystems.com/Our_Equipment.html
Truck Turners Ltd,Kirinyaga Road,,Nairobi,Kenya,http://whoswho.co.ke/truck-turners-ltd-235926,http://whoswho.co.ke/truck-turners-ltd-235926,https://www.kenyaplex.com/business-directory/12899-truck-turners-ltd-nairobi.aspx
Occidental Insurance Co Ltd,Crescent Business Centre Along Cresent Road,"Off Parklands Road, Opposite M.P Shah Hospital",Nairobi,Kenya,http://www.occidental-ins.com/8-latest-news,http://www.occidental-ins.com/contact-us
Advocacy For Change Foundaton,Kaptagat Road,,Eldoret,Kenya,https://www.inphilanthropy.org/resources/advocacy-part-1,http://www.timeforchangefoundation.org/advocacy/advocatingforchange.html,http://www.rbabyfoundation.org/advocacy/
Travel N Style Ltd,"Nara House, South C Shopping Centre Off Muhoho Avenue",South C,Nairobi,Kenya,https://www.kenyaplex.com/business-directory/17785-travel-n-style-ltd-nairobi.aspx,http://www.travelinstyle.co.ke/index.php/component/contact/contact/9
Catholic Diocese Of Muranga,Blessed Allamano St,,Muranga,Kenya,https://en.wikipedia.org/wiki/Roman_Catholic_Diocese_of_Muranga,https://searchworks.stanford.edu/view/9752929,http://www.gcatholic.org/dioceses/diocese/mura0.htm
Spielworks Media Limited,2 Kandara Road Kileleshwa,,Nairobi,Kenya,https://www.startupgrind.com/events/details/startup-grind-nairobi-presents-dorothy-ghettuba-spielworks-media-1,https://www.startupgrind.com/events/details/startup-grind-nairobi-presents-dorothy-ghettuba-spielworks-media-1,http://www.spielworksmedia.com/contact-us/
Nitro Chemicals Ltd,Lr 209/34/29 Dar Es Salaam Road,Industrial Area,Nairobi,Kenya,http://www.businesslist.co.ke/company/21418/nitro-chemicals-ltd,http://www.businesslist.co.ke/company/21418/nitro-chemicals-ltd,https://softkenya.com/directory/nitro-chemicals-ltd/
Moi Teaching And Referral Hospital,"Lr No 7/308 Nandi Road, Chepkoilel Location, Ainapkoi Division","Eldoret East District, Uasin Gishu County",Eldoret,Kenya
Spinners & Spinners Ltd,"Nakumatt Ukay Centre, 3Rd Floor",Ring Road,Nairobi,Kenya,,
Gereji Limited,Ngong Rd,,Nairobi,Kenya,http://www.davidnjuguna.com/,https://angel.co/david-njuguna,https://www.facebook.com/zatitiOfficial/notes
Centre For Women Empowerment,Oginga Odinga Street,,Eldoret,Kenya,http://www.paxpopuli.org/be-inspired/ecw/,http://extension.missouri.edu/wec/,http://www.ncwd.gov.ng/
Association For Women In The Maritime Sector In East And Southern Africa,Moi Avenue,,Mombasa,Kenya,https://blog.samsa.org.za/tag/association-of-women-in-the-maritime-sector-in-eastern-and-southern-africa/,http://www.hundel.sc/news/2017/06/womesa,http://womesa.org/
Chairmania Events Ltd,Chepkorio,,Nairobi,Kenya,https://issuu.com/chairmania_events_ltd/docs/chairmania_events_ltd,https://issuu.com/chairmania_events_ltd/docs/chairmania_events_ltd,https://softkenya.com/directory/chairmania-events-ltd/
Afro Natural Dairies,Second Avenue Isiolo,,Isiolo,Kenya,http://www.irelandlookup.com/1537508/Dairies/Donegal/Natural_Dairies_Ltd/,https://m.facebook.com/naturaldairies/,
Nova Supermarket Ltd,"Nova House,  Lunga Lunga Road",,Nairobi,Kenya,http://www.businesslist.co.ke/category/supermarket/9/city:nairobi,
First Machineries Ltd,"Lusaka Close, Off Lusaka Road",Industrial Area,Nairobi,Kenya,http://www.businesslist.co.ke/company/109520/first-machineries-ltd,http://www.businesslist.co.ke/company/109520/first-machineries-ltd
Bss Africa Ltd,Prosperity House Westlands Road,,Nairobi,Kenya,http://yellow.co.ke/index.php/bss-africa-ltd-nairobi,https://softkenya.com/directory/bss-africa-ltd-2/,https://softkenya.com/directory/bss-africa-ltd/
Pan African Syndicate Limited,Shimanzi,Zanzibar Road,Mombasa,Kenya,http://www.yellowpageskenya.com/site/details/15035,https://softkenya.com/directory/pan-african-syndicate-ltd/,https://softkenya.com/directory/pan-african-syndicate-ltd/
Countrywide Connection Limited,Kangaita Estate,,Nanyuki,Kenya,https://en.wikipedia.org/wiki/Bank_of_America_Home_Loans,http://www.businesslist.co.ke/company/100685/country-wide-connection-limited,https://www.cwico.com/privacy-policy.php
Nutritionists Without Borders,Kimathi,,Nairobi,Kenya,http://www.doctorswithoutborders.org/our-work/medical-issues/malnutrition,http://panorama.wfp.org/nutrition-without-borders,http://www.internationaldietetics.org/Newsletter/Vol16Issue1/Feature-Article/Nutritionist-Without-Borders.aspx
Welding Alloys Limited,Lunga Lunga Road,Migwani Road,Nairobi,Kenya,https://www.welding-alloys.com/EN/contact-us.html,,
Manee Kenya Ngo,Machakos  Town Off Konza Road,,Machakos,Kenya,http://www.ngoindex.com/listings/manee-kenya/,https://mobile.twitter.com/manee09121171,https://www.facebook.com/pages/Manee-Kenya-NGO/574970702648967
Suburban Agencies Ltd,"Protection House, 4Th Floor Haile Selassie Avenue",Off Parliament Road,Nairobi,Kenya,https://www.kenyaplex.com/business-directory/14520-suburban-agencies-nairobi.aspx,http://www.suburban.co.ke/contact-us.html
Garden Square Ltd,City Hall Way,Off Parliament Road,Nairobi,Kenya,,,
Reliance Industries Ltd,"Reliance Building,  Mombasa Road",,Nairobi,Kenya,https://www.bloomberg.com/quote/RIL:IN,https://en.wikipedia.org/wiki/Reliance_Industries
Green Kreations,Mombasa Road,,Nairobi,Kenya,https://www.flickr.com/photos/28774435%40N02/,https://www.flickr.com/photos/28774435%40N02/,http://www.zoominfo.com/c/Green-Kreations/356135214
Megtraco Limited,Tom Mboya Street,,Nairobi,Kenya,https://softkenya.com/directory/megtraco-ltd/,https://softkenya.com/directory/megtraco-ltd/,https://beta.companieshouse.gov.uk/company/04546572
Macmed Healthcare (K)  Ltd,Off Ngong Road,Opposite Baptist Church,Nairobi,Kenya,http://www.healthcareinkenya.com/749-macmed-healthcare-k-ltd,http://www.gba.co.ke/member/item/193-macmed-healthcare-k-limited,https://softkenya.com/directory/macmed-healthcare-k-ltd/
Rajair Travel & Tours Bureau Ltd,"Rehema House, Ground Floor,  Kaunda Street",,Nairobi,Kenya,http://www.businesslist.co.ke/company/79094/rajair-traveltours
Warwick Holdings,United Nations Avenue,,Nairobi,Kenya,http://www.hoovers.com/company-information/cs/company-profile.warwick_holdings_limited.dba4856f96ee7c34.html,https://beta.companieshouse.gov.uk/company/03034706,https://companycheck.co.uk/company/03034706/WARWICK-HOLDINGS-LIMITED/companies-house-data
East African Chains Uganda Ltd,2Nd Street,Industrial Area,Nairobi,Kenya,http://eastafricatenders.com/directory/east-african-chains-uganda-limited/,http://www.monitordirectory.co.ug/listing/east-african-chains-u-ltd--53f541a4e844f.html,http://www.infomoby.co.ug/en/profile/east_african_chains_u_ltd/16724
Kontroll Services K Ltd,Moi Avenue,,Mombasa,Kenya,http://www.businesslist.co.ke/company/36667/kontroll-services-k-ltd/qa,http://www.businesslist.co.ke/company/36667/kontroll-services-k-ltd,https://softkenya.com/directory/kontroll-services-k-ltd/
Aiccad,Ngongroad,,Nairobi,Kenya,http://www.aiccad.org/index.php/ct-menu-item-3,http://www.aiccad.org/,http://aiccad.org/index.php/vacancies/vacancies
De La Rue Currency & Security Print (K) Ltd,Noordin Road,Off Thika Road,Nairobi,Kenya,https://en.wikipedia.org/wiki/De_La_Rue,,
Sheffield Steel Systems Ltd,Ware House No. 11 Kenbelt Industrial Park,Mombasa Road,Nairobi,Kenya,https://www.kenyaplex.com/business-directory/34280-sheffield-steel-systems-ltd-nairobi.aspx,https://www.kenyaplex.com/business-directory/34280-sheffield-steel-systems-ltd-nairobi.aspx,http://yellow.co.ke/sheffield-steel-systems-ltd-nairobi
Metrotech East Africa Limited,1St Floor Luthuli Avenue,"Thande House, L R 209 / 2421",Nairobi,Kenya,http://metrotech.co.ke/why-metrotech/,https://m.facebook.com/MetrotechCopiersServicesLtd/
Next Technologies Limited,Applewood Park,"Wood Avenue, Kilimani",Nairobi,Kenya,http://yellow.co.ke/next-technologies-ltd-nairobi,http://yellow.co.ke/next-technologies-ltd-nairobi
Isanda Nango Self Help Group,Homa Bay Road,,Nairobi,Kenya,https://trickleup.org/category/savings-self-help-groups/,http://gb.viadeo.com/en/profile/marc.wise,http://gb.viadeo.com/en/profile/marc.wise
M-Pesa Holding Co Limited,8Th Floor Lonhro House,P.O. Box 40034,,Kenya,https://ftalphaville.ft.com/2012/07/20/1089571/more-on-m-pesa-and-e-money/%3Fmhq5j%3De3,,
British Peace Support Team For East Africa (Bpst(Ea),Defence Staff College,Westwood Park Road,Nairobi,Kenya,https://britsinkenya.com/2017/01/11/british-peace-support-team-head-to-rift-valley-for-team-building/,http://www.army.mod.uk/operations-deployments/22724.aspx,http://britsinkenya.com/tag/british-peace-support-team-eastern-africa-bpst-ea/
Peminjo Ltd,Plot No : 5/46 Waiyaki Way,,Nairobi,Kenya,http://kenyalaw.org/caselaw/cases/view/100369/,https://www.companybooknetworking.com/KE0000000850525003/N%2520Mmags%2520Peter,https://www.companybooknetworking.com/KE0000000850525003/W%2520Njujh%2520Milcent
Oline Retreads Ltd,K S Bedi West Road,Opposite Valley Hospital,Nakuru,Kenya,http://www.businesslist.co.ke/company/50692/oline-retreads-ltd,http://www.businesslist.co.ke/company/50692/oline-retreads-ltd,https://www.kenyaplex.com/business-directory/37129-oline-retreads-ltd-west-road-nakuru.aspx
Crystal Ice Cream P Ltd,"Highridge Shopping Centre,  Masari Road",,Nairobi,Kenya,http://s1b4350-dot-tbhoqfra.appspot.com/ice-cream-crystal-ice-cream-p-ltd.php,https://softkenya.com/directory/crystal-ice-cream-cafeteria-ltd/
The Technology Consulting Group Limited,Green Square Riara Road,,Nairobi,Kenya,http://www.clientfirstcg.com/,http://www.commonwealthofnations.org/organisations/technology_consulting_group_mssynergies_ltd_the_/,https://beta.companieshouse.gov.uk/company/05891156
Anjarwalla & Khanna,"The Oval, Junction Of Ring Road Parklands & Jalaram Road, Westla",,Nairobi,Kenya,https://www.chambersandpartners.com/Global/firm/2336/anjarwalla-khanna
Willet Weeks,"P,O, Box 13403",,Nairobi,Kenya,http://www.nytimes.com/2004/12/24/news/obituary-willet-weeks-jr-executive-for-paris-newspaper-in-1950s.html
Pon Pure Kenya Limited,Plot L.R No.7158/602 Kalamu Hse,"Grevillea Hse, Westlands",Nairobi,Kenya,,
Morris Cerullo World Evangelism Kenya,P O Box 59680,,Nairobi,Kenya,http://www.businesslist.co.ke/company/25616/morris-cerullo-world-evangelism-kenya,http://whoswho.co.ke/morris-cerullo-world-evangelism-kenya-158648,http://whoswho.co.ke/morris-cerullo-world-evangelism-kenya-158648
Fraga Group Kenya,1/387 Ngong Road,,Nairobi,Kenya,https://www.companybooknetworking.com/fraga-group-kenya,https://m.facebook.com/groupkenya/,https://www.companybooknetworking.com/fraga-group-kenya/Nyanja%2520Andrew
Talkpool Telecom Network Services Limited,Prima Apartments Ole Kajuado Road,Cortina Court,Nairobi,Kenya,http://www.talkpool.com/,,
Kidi Luanda Community Programme,Kisumu Nairobi Road,,Kisumu,Kenya,http://impacthubmedia.com/9374/community-embraces-local-giving-to-transform-education-standards-in-migori-county/,http://dw.angonet.org/luppangola.org/index.htm,https://www.facebook.com/KenyaCommunityDevelopmentFoundation/photos/a.10150785470444196.499679.123625919195/10153162483769196/
Africa Practice East Africa Limited,Westlands Road,,Nairobi,Kenya,https://www.rockefellerfoundation.org/our-work/grants/africa-practice-east-africa-ltd/,http://www.africapractice.com/enquiries/,http://www.africapractice.com/about/
National Organization Of Peer Educators,Madera Road,Off Gatundu Road Kileleshwa,Nairobi,Kenya,http://orgs.tigweb.org/national-organization-of-peer-educators,https://www.slideshare.net/NOPEKenya2014,https://liftupafrica.org/cause-view/national-organization-of-peer-educators-nope/
Bunge La Mwananchi,"Peponi Plaza, Westlands",,Nairobi,Kenya,https://www.standardmedia.co.ke/article/2001241460/bunge-la-mwananchi-case-of-idle-crowds,https://www.pambazuka.org/governance/kenya-bunge-la-mwananchi-movement-and-its-challenges
Amos Wangwa,Nairobi West Plot 37/261,,Nairobi,Kenya,https://www.bbg.gov/2017/04/26/voa-wins-bronze-medal-new-york-festivals-international-tv-film-awards-ceremony/,https://www.bbg.gov/2017/04/26/voa-wins-bronze-medal-new-york-festivals-international-tv-film-awards-ceremony/,https://www.voanews.com/author/25357.html
Ol Donyo Farm Ltd,Nanyuki Road,,Meru,Kenya,|http://ke.geoview.info/oldonyo_farm,182347|,http://www.businesslist.co.ke/company/90999/ol-donyo-farm-ltd,http://www.nation.co.ke/business/corporates/barley-farmers-eabl-oldonyo-technology/1954162-2091454-at1012z/index.html
Hutchings Biemer Ltd,"Lr No 209/5535,  Ralph Bunche Road",City Centre,Nairobi,Kenya,https://softkenya.com/directory/hutchings-biemer-ltd/,https://softkenya.com/directory/hutchings-biemer-ltd/
Linear East Africa Agency Ltd,Old Cannon Towers Moi Avenue,,Mombasa,Kenya,http://www.shippingline.org/company/ke-9728/Linear_East_Africa_Agency.html,http://www.shippingline.org/company/ke-9728/Linear_East_Africa_Agency.html,http://www.jctrans.net/ShopHome/index_36646.html
Farmlands Food Ea Limited,Kamburu Drive,Off Ngong Road,Nairobi,Kenya,http://bizin.co.ke/eng/farmland-foods-e-a-ltd-11652,http://www.businesslist.co.ke/company/84473/farmlands-foods-e-a-ltd,
Abno Softwares International Ltd,Maua Close Off Parklands Road Westlands,,Nairobi,Kenya,http://www.abnosoftwares.co.ke/index.php/career,http://www.abnosoftwares.co.ke/index.php/contact,https://m.facebook.com/AbnoSoftwaresInternational/
Swan Industries Ltd,Sabuni Road,,Kisumu,Kenya,http://www.bangkokpost.com/business/companies%2520in%2520thailand/17109/swan-industries-thailand-limited-,http://www.swanindia.com/,http://www.swan.co.th/
Izmir Enterprises Limited,"Industrial Area,  Enterprise Road",Butere Road,Nairobi,Kenya,https://www.kenyaplex.com/business-directory/4927-izmir-enterprises-limited-nairobi.aspx,http://izmirel.en.china.cn/
Sameer Africa Limited,L.R.No 12081/9 Enterprise / Mombasa Road Junction,Mombasa Road,Nairobi,Kenya,https://www.sameerafrica.com/index.php/about/company-history/profile,https://www.sameerafrica.com/index.php/about/company-history/profile,https://www.sameerafrica.com/index.php/dealers/uganda/kampala
Homa-Bay County Community Development Sacco,Homa-Bay -Mbita,,Homa-Bay,Kenya,https://homabaycounty411.wordpress.com/,https://pai.org/wp-content/uploads/2014/07/PAI_HomaBay-3.pdf,http://www.managingforimpact.org/sites/default/files/case/hhcdo_background_feb_2016.pdf
Synergy In Ventures,Kenyatta Avenue,,Nairobi,Kenya,http://www.synergysocialventures.org/philanthropy/,http://www.synergyventures.net/about_us.html,http://synergyventurescorp.com/
Bhimji Ramji & Sons K Ltd,Off North Airport Road,,Nairobi,Kenya,http://yellow.co.ke/bhimji-ramji-sons-k-ltd-nairobi,https://www.facebook.com/pages/Bhimji-Ramji-and-Sons-K-Ltd/114351885245624,http://www.yellowpageskenya.com/site/details/12352
Aztramade Consulting Ltd,Ngong Road,,Nairobi,Kenya,https://www.devex.com/people/philip-k-1191741,https://www.devex.com/people/philip-k-1191741,http://kenya.smetoolkit.org/kenya/en/webpage/31229/en
Yara East Africa Limited,"Off Mombasa/Enterprise Rd, Opp. Sameer Industrial Park","Road C, Next To Kings Kitchen",Nairobi,Kenya,http://www.africafertilizerdirectory.org/companies/yara-east-africa-ltd
Professional Technologies Ltd,P.O Box : 63401,,Nairobi,Kenya,https://softkenya.com/directory/professional-technologies-ltd/,https://softkenya.com/directory/professional-technologies-ltd/,http://www.protech.com.al/
Ol-Jore Enterprises,Waiyaki Way,,Nairobi,Kenya,http://billingsgazette.com/news/local/bankrupt-jore-plans-lawsuits-against-its-lenders/article_78a99350-12a7-513d-88d2-9a23773666c6.html,http://missoulian.com/nearly-million-heading-new-jore-corp-s-way/article_da4b1696-4b1b-502a-891b-752742c1c1bc.html,https://www.yelp.com/biz/jorie-weight-loss-center-oak-brook
Institutional And Career Excellence Centre Ltd,East Gate Office Complex  Donholm,,Nairobi,Kenya,http://www.yellowpageskenya.com/site/details/54927,http://aceacademyglobal.com/,http://www.businesslist.co.ke/company/103328/institutioncareer-excellence-centre
Bizone Limited,Airport North Road Off Old Mombasa Road,,Nairobi,Kenya,https://softkenya.com/directory/bizone-ltd/,https://softkenya.com/directory/bizone-ltd/,https://beta.companieshouse.gov.uk/company/09800870
